ID,Screen,CPU,RAM,VGA
1FPT,9,4,7,0
2FPT,9,5,7,1
3FPT,5,5,7,0
4FPT,7,5,7,0
5FPT,9,5,7,0
6FPT,7,5,7,0
7FPT,9,7,9,1
8FPT,9,9,9,1
9FPT,7,5,7,0
10FPT,9,5,7,0
11FPT,7,5,7,0
12FPT,7,7,7,0
13FPT,7,7,7,0
14FPT,5,7,9,0
15FPT,9,7,9,1
16FPT,5,9,9,0
17FPT,7,5,7,0
18FPT,7,7,7,0
19FPT,9,7,7,1
20FPT,7,7,7,0
21FPT,7,5,7,0
22FPT,7,5,7,0
23FPT,9,7,7,1
24FPT,7,7,7,0
25FPT,5,7,9,0
26FPT,7,5,7,0
27FPT,9,5,7,0
28FPT,7,5,7,0
29FPT,7,7,7,0
30FPT,5,9,9,1
31FPT,9,9,7,1
32FPT,5,7,9,0
33FPT,9,5,7,0
34FPT,7,5,7,0
35FPT,9,5,7,1
36FPT,9,5,7,0
37FPT,9,7,7,0
38FPT,7,5,7,0
39FPT,9,7,7,1
40FPT,9,9,7,1
41FPT,9,7,7,1
42FPT,7,7,7,0
43FPT,5,9,9,0
44FPT,9,4,7,0
45FPT,9,4,7,0
46FPT,7,5,7,0
47FPT,9,7,7,1
48FPT,7,5,7,0
49FPT,9,9,9,1
50FPT,9,7,9,1
51FPT,9,9,9,1
52FPT,9,4,7,0
53FPT,9,5,7,0
54FPT,9,5,7,0
55FPT,9,7,7,0
56FPT,9,9,9,1
57FPT,7,9,9,0
58FPT,9,5,7,0
59FPT,7,7,7,0
60FPT,9,5,7,0
61FPT,9,7,7,1
62FPT,9,7,7,0
63FPT,9,5,7,0
64FPT,9,5,7,1
65FPT,9,5,7,1
66FPT,9,9,9,1
67FPT,5,9,9,0
68FPT,5,7,9,0
69FPT,5,7,9,0
70FPT,5,5,9,0
71FPT,5,7,9,0
72FPT,5,7,9,0
73FPT,5,7,9,0
74FPT,5,7,9,0
75FPT,9,9,9,1
76FPT,9,9,9,1
77FPT,9,4,7,0
78FPT,5,7,9,0
79FPT,9,7,9,1
80FPT,9,7,7,1
81FPT,7,5,7,0
82FPT,7,5,7,0
83FPT,5,7,9,0
84FPT,9,7,7,0
85FPT,7,5,7,0
86FPT,7,7,7,0
87FPT,9,7,9,1
88FPT,9,9,9,1
89FPT,9,9,7,1
90FPT,5,4,5,0
91FPT,5,4,7,0
92FPT,5,4,5,0
93FPT,5,4,5,0
94FPT,7,5,7,0
95FPT,7,5,7,0
96FPT,9,5,7,0
97FPT,9,5,7,1
98FPT,9,4,7,0
99FPT,7,4,5,0
100FPT,7,4,5,0
101FPT,9,5,7,0
102FPT,9,5,7,0
103FPT,5,7,9,0
104FPT,9,9,9,1
105FPT,9,5,7,0
106FPT,9,9,9,1
107FPT,9,5,7,0
108FPT,9,9,7,1
109FPT,9,4,7,0
110FPT,9,5,7,1
111FPT,9,7,7,1
112FPT,9,7,9,1
113FPT,9,9,9,1
114FPT,9,5,7,0
115FPT,7,5,7,0
116FPT,9,4,7,0
117FPT,7,7,7,0
118FPT,9,5,7,0
119FPT,9,7,7,0
120FPT,9,7,7,1
121FPT,7,7,7,0
122FPT,5,7,9,1
123FPT,9,7,7,0
124FPT,9,7,9,1
125FPT,9,9,9,1
126FPT,7,7,9,0
127FPT,9,9,9,1
128FPT,9,7,9,1
129FPT,9,7,7,0
130FPT,9,5,7,1
131FPT,9,9,9,1
132FPT,5,7,9,0
133FPT,5,9,9,0
134FPT,7,7,7,0
135FPT,5,7,7,0
136FPT,9,9,9,1
137FPT,9,9,9,1
138FPT,9,9,9,1
139FPT,9,9,9,1
140FPT,9,5,7,0
141FPT,7,9,9,1
142FPT,5,9,9,0
143FPT,9,7,7,1
144FPT,7,5,7,0
145FPT,5,5,7,0
146FPT,7,7,7,0
147FPT,9,7,7,1
148FPT,9,7,7,0
149FPT,7,5,7,0
150FPT,9,5,7,0
151FPT,9,7,7,0
152FPT,7,5,7,0
153FPT,9,9,9,1
154FPT,9,7,7,1
155FPT,9,7,7,1
156FPT,7,7,7,0
157FPT,9,5,7,0
158FPT,7,7,7,0
