"Brand","Price","Image","Screen","CPU","RAM","VGA","OS","Weight","Link"
"HP",6190000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/9/15/636410683569855871_HP-15-bs559TU.png",15.6,"Intel Celeron N4000",4,"Intel® HD Graphics 600 Shared","Windows 10 Home SL",1.77,"https://fptshop.com.vn//may-tinh-xach-tay/hp-15-da0107tu-celeron-n4000"
"HP",10990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/8/8/636378032368806847_HP-15-bs637TX.png",15.6,"Intel Core i3 7020U",4,"NVIDIA® GeForce® MX110 2 GB","Windows 10 Home Single Language 64",1.77,"https://fptshop.com.vn//may-tinh-xach-tay/hp-15-da0037tx-i3-7020U"
"HP",13490000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/8/21/636389290028082271_1o.jpg",11.6,"Intel Core i3 8130U",4,"Intel® HD Graphics 620 Share","Windows 10 Home SL",1.4,"https://fptshop.com.vn//may-tinh-xach-tay/hp-pavilion-x360-11-ad104tu"
"HP",13490000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/8/14/636383202372532155_HP-Pavilion-x360-14-ba066TU.png",14,"Intel Core™ i3 8130U",4,"Intel® UHD Graphics 620 Shared","Windows 10 Home Single Language 64",1.59,"https://fptshop.com.vn//may-tinh-xach-tay/hp-pavilion-x360-14-cd0082tu-i3-8130u"
"Lenovo",9990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/8/15/636699244300754504_Lenovo-330-15.png",15.6,"Intel Core i3 7130U ",4,"Intel® HD Graphics 620 Shared","Windows 10 Home ",1.8,"https://fptshop.com.vn//may-tinh-xach-tay/lenovo-ideapad-330-15ikb-81dc00envn"
"Lenovo",8490000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/11/22/636469406353762713_lenovo-320.png",14,"Intel Core i3 6006U",4," Intel® HD Graphics 520 Shared","FreeDOS",1.8,"https://fptshop.com.vn//may-tinh-xach-tay/lenovo-ideapad-320-14isk-80xg009tvn"
"Lenovo",22990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/10/23/636758927053148848_res_f0a91de84653a454426384a8bfd7dfcb_full.jpg",15.6,"Intel Core i5 8300H ",8,"NVIDIA® GEFORCE® GTX 1050 4 GB GDDR5","Ubuntu",2.3,"https://fptshop.com.vn//may-tinh-xach-tay/lenovo-legion-y530-15ich"
"Lenovo",24990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/10/23/636758927053148848_res_f0a91de84653a454426384a8bfd7dfcb_full.jpg",15.6,"Intel Core i7 8750H",8,"NVIDIA® GeForce® GTX 1050 4 GB GDDR5","FreeDOS",2.2,"https://fptshop.com.vn//may-tinh-xach-tay/lenovo-legion-y530-15ich-core-i7-8750h-8gb-1tb-128gb-ssd-gtx-1050ti-4gb-81fv00suvn"
"Lenovo",9690000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/11/22/636469406353762713_lenovo-320.png",14,"intel Core i3 6006U",4,"Intel HD Graphics Share","Windows 10 HOME EM",2.1,"https://fptshop.com.vn//may-tinh-xach-tay/lenovo-ideapad-320-14isk-windows-10"
"HP",9990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/9/15/636410683569855871_HP-15-bs559TU.png",15.6,"intel Core i3 7020U",4,"Intel® UHD Graphics Shared","Windows 10 Home Single Language 64",1.77,"https://fptshop.com.vn//may-tinh-xach-tay/hp-15-da0051tu-core-i3-7020u"
"HP",12490000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/8/8/636378051749718059_HP-Pavilion-14-bf014TU.png",14,"Intel® Core i3 8130U",4,"Intel® HD Graphics 620 Share","Windows 10 Home SL",1.53,"https://fptshop.com.vn//may-tinh-xach-tay/hp-pavilion-14-ce0027tu"
"HP",14990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/8/17/636700896982860818_HASP LAPTOP HP 14 CE0031TU-8.jpg",14,"intel Core i5 8250U ",4,"Intel® UHD Graphics 620 Shared","Windows 10 Home Single Language 64",1.59,"https://fptshop.com.vn//may-tinh-xach-tay/hp-pavilion-14-ce0031tu-core-i5-8250u"
"HP",14990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/8/8/636378051749718059_HP-Pavilion-14-bf014TU.png",14,"Intel Core i5 8250U ",4,"Intel® UHD Graphics 620 Shared","Windows 10 Home Single Language 64",1.59,"https://fptshop.com.vn//may-tinh-xach-tay/HP-Pavilion-14-ce0024TU"
"HP",21990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/8/16/636384743489659561_HP-Envy-13-ad076TU.png",13.3,"Intel Core i5 8250U",8,"Intel® UHD Graphics 620 Shared","Windows 10 Home",1.21,"https://fptshop.com.vn//may-tinh-xach-tay/HP-Envy-13-ah0026TU"
"HP",23990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/9/25/636734642094083127_HP Power Game 15.png",15.6,"Intel® Core i5 8300H",8,"NVIDIA GEFORCE GTX 1050 4 GB","Windows 10 Home SL",2.17,"https://fptshop.com.vn//may-tinh-xach-tay/hp-pavilion-power-15-cx0179txi5-8300h"
"HP",26490000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/8/16/636384743489659561_HP-Envy-13-ad076TU.png",13.3,"Intel Core i7 8550U",8,"Intel® UHD Graphics 620 Shared","Windows 10 Home",1.22,"https://fptshop.com.vn//may-tinh-xach-tay/HP-Envy-13-ah0027TUCore-i7-8550U"
