"Name","Price","Image","Screen","CPU","RAM","Graphics","OS","Weight","Link"
"HP 15-da0107TU/Celeron N4000","6.190.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/9/15/636410683569855871_HP-15-bs559TU.png","15.6 inchs HD SVA BrightView WLED-backlit","Intel Celeron N4000","4 GB DDR4 2400 MHz","Intel® HD Graphics 600 Shared","Windows 10 Home SL","1.77 Kg","https://fptshop.com.vn//may-tinh-xach-tay/hp-15-da0107tu-celeron-n4000"
"HP 15-da0037TX/i3 7020U","10.990.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/8/8/636378032368806847_HP-15-bs637TX.png","15.6 inchs  HD BrightView WLED-backlit","Intel Core i3 7020U","4 GB DDR4 2133 MHz","NVIDIA® GeForce® MX110 2 GB","Windows 10 Home Single Language 64","1.77 Kg","https://fptshop.com.vn//may-tinh-xach-tay/hp-15-da0037tx-i3-7020U"
"HP Pavilion X360 11-ad104TU","13.490.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/8/21/636389290028082271_1o.jpg","11.6 inchs HD Touch","Intel Core i3 8130U","4 GB DDR4 2133 MHz","Intel® HD Graphics 620 Share","Windows 10 Home SL","1.4 Kg","https://fptshop.com.vn//may-tinh-xach-tay/hp-pavilion-x360-11-ad104tu"
"HP Pavilion x360 14-cd0082TU/i3-8130U","13.490.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/8/14/636383202372532155_HP-Pavilion-x360-14-ba066TU.png","14.0 inchs HD SVA micro-edge WLED-backlit","Intel Core™ i3 8130U","4 GB DDR4 2400 MHz","Intel® UHD Graphics 620 Shared","Windows 10 Home Single Language 64","1.59 Kg","https://fptshop.com.vn//may-tinh-xach-tay/hp-pavilion-x360-14-cd0082tu-i3-8130u"
"Lenovo Ideapad 330-15IKB 81DC00ENVN","9.990.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/8/15/636699244300754504_Lenovo-330-15.png","15.6 inchs HD LED","Intel Core i3 7130U ","4 GB DDR4 2133 MHz","Intel® HD Graphics 620 Shared","Windows 10 Home ","1.8 Kg","https://fptshop.com.vn//may-tinh-xach-tay/lenovo-ideapad-330-15ikb-81dc00envn"
"Lenovo Ideapad 320-14ISK 80XG009TVN","8.490.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/11/22/636469406353762713_lenovo-320.png","14.0 inchs HD","Intel Core i3 6006U","4GB DDR4 2133 MHz"," Intel® HD Graphics 520 Shared","FreeDOS","1.8 Kg","https://fptshop.com.vn//may-tinh-xach-tay/lenovo-ideapad-320-14isk-80xg009tvn"
"Lenovo Legion Y530-15ICH","22.990.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/10/23/636758927053148848_res_f0a91de84653a454426384a8bfd7dfcb_full.jpg","15.6 inchs FullHD IPS","Intel Core i5 8300H ","8 GB DDR4 2666 MHz","NVIDIA® GEFORCE® GTX 1050 4 GB GDDR5","Ubuntu","2.30 Kg","https://fptshop.com.vn//may-tinh-xach-tay/lenovo-legion-y530-15ich"
"Lenovo Legion Y530-15ICH/Core i7-8750H/8GB/1TB+128GB SSD/GTX 1050 4GB/81FV00SUVN","24.990.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/10/23/636758927053148848_res_f0a91de84653a454426384a8bfd7dfcb_full.jpg","15.6 inches FHD LED","Intel Core i7 8750H","8 GB DDR4 2666 MHz","NVIDIA® GeForce® GTX 1050 4 GB GDDR5","FreeDOS","2.20 Kg","https://fptshop.com.vn//may-tinh-xach-tay/lenovo-legion-y530-15ich-core-i7-8750h-8gb-1tb-128gb-ssd-gtx-1050ti-4gb-81fv00suvn"
"Lenovo Ideapad 320-14ISK/ Windows 10","9.690.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/11/22/636469406353762713_lenovo-320.png","14 inchs  Full HD","intel Core i3 6006U","4 GB DDR4 2133 MHz","Intel HD Graphics Share","Windows 10 HOME EM","2.1 Kg","https://fptshop.com.vn//may-tinh-xach-tay/lenovo-ideapad-320-14isk-windows-10"
"HP 15-da0051TU/Core i3-7020U","9.990.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/9/15/636410683569855871_HP-15-bs559TU.png","15.6 inches   SVA BrightView WLED-backlit","intel Core i3 7020U","4 GB DDR4 2133 MHz","Intel® UHD Graphics Shared","Windows 10 Home Single Language 64","1.77 Kg","https://fptshop.com.vn//may-tinh-xach-tay/hp-15-da0051tu-core-i3-7020u"
"HP Pavilion 14-ce0027TU","12.490.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/8/8/636378051749718059_HP-Pavilion-14-bf014TU.png","14.0 inchs Viền màn hình mỏng, WLED, LED Backlit","Intel® Core i3 8130U","4 GB DDR4 2133 MHz","Intel® HD Graphics 620 Share","Windows 10 Home SL","1.53 Kg","https://fptshop.com.vn//may-tinh-xach-tay/hp-pavilion-14-ce0027tu"
"HP Pavilion 14-ce0031TU","14.990.000₫","https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/8/17/636700896982860818_HASP LAPTOP HP 14 CE0031TU-8.jpg","14.0 inchs  IPS BrightView micro-edge WLED-backlit","intel Core i5 8250U ","4 GB DDR4 2400 MHz","Intel® UHD Graphics 620 Shared","Windows 10 Home Single Language 64","1.59 Kg","https://fptshop.com.vn//may-tinh-xach-tay/hp-pavilion-14-ce0031tu-core-i5-8250u"
