Name,Price,Image,Screen,CPU,RAM,Graphics,OS,Weight,Link
Acer Aspire A314 31 C2UX N3350 (NX.GNSSV.008),6.290.000₫,https://cdn.tgdd.vn/Products/Images/44/170893/acer-aspire-a314-31-c2ux-nxgnssv008-ava-1-600x600.jpg,"Màn hình: 14 inch, HD","CPU: Celeron, 1.10 GHz","RAM: 2 GB, HDD: 500 GB",Đồ họa: Intel® HD Graphics,HĐH: Windows 10 Home SL,"Nặng: 1.6 kg, Pin: 2 cell",https://www.thegioididong.com/laptop/acer-aspire-a314-31-c2ux-nxgnssv008
Acer Aspire A315 31 P2LJ N4200 (NX.GNTSV.010),7.590.000₫,https://cdn.tgdd.vn/Products/Images/44/165291/acer-aspire-a315-31-p2lj-nxgntsv010-ava-600x600.jpg,"Màn hình: 15.6 inch, HD","CPU: Pentium, 1.10 GHz","RAM: 4 GB, HDD: 500 GB, Hỗ trợ khe cắm SSD M.2 PCIe",Đồ họa: Intel® HD Graphics,HĐH: Windows 10 Home SL,"Nặng: 2.4 kg, Pin: 2 cell",https://www.thegioididong.com/laptop/acer-aspire-a315-31-p2lj-nxgntsv010
Acer Aspire E5 476 i3 8130U (NX.GWTSV.002) Xám,9.990.000₫,https://cdn.tgdd.vn/Products/Images/44/160296/acer-aspire-e5-476-i3-8130u-nxgwtsv002-ava-600x600.jpg,"Màn hình: 14 inch, HD","CPU: Core i3 Kabylake Refresh, 2.20 GHz","RAM: 4 GB, HDD: 500 GB, Hỗ trợ khe cắm SSD M.2 PCIe",Đồ họa: Intel® UHD Graphics 620,HĐH: Windows 10 Home SL,"Nặng: 1.9 kg, Pin: 4 cell",https://www.thegioididong.com/laptop/acer-aspire-e5-476-i3-8130u-nxgwtsv002
HP 15 da0048TU N5000 (4ME63PA),7.690.000₫,https://cdn.tgdd.vn/Products/Images/44/177631/hp-15-da0048tu-4me63pa-33397-ava1-600x600.jpg,"Màn hình: 15.6 inch, HD","CPU: Pentium, 1.10 GHz","RAM: 4 GB, HDD: 500 GB SATA3",Đồ họa: Intel® HD Graphics,HĐH: Windows 10 Home SL,"Nặng: 1.77 kg, Pin: 3 cell",https://www.thegioididong.com/laptop/hp-15-da0048tu-4me63pa
HP 15 da0055TU i3 7020U (4NA89PA),10.290.000₫,https://cdn.tgdd.vn/Products/Images/44/182740/hp-15-da0055tu-4na89pa-600x600.jpg,"Màn hình: 15.6 inch, HD","CPU: Core i3 Kabylake, 2.30 GHz","RAM: 4 GB, HDD: 1 TB",Đồ họa: Intel® HD Graphics 620,HĐH: Windows 10 Home SL,"Nặng: 1.8 kg, Pin: 3 cell",https://www.thegioididong.com/laptop/hp-15-da0055tu-4na89pa
HP 15 da0054TU i3 7020U (4ME68PA),10.990.000₫,https://cdn.tgdd.vn/Products/Images/44/177770/hp-15-da0054tu-4me68pa-thumbnail-600x600.jpg,"Màn hình: 15.6 inch, Full HD","CPU: Core i3 Kabylake, 2.30 GHz","RAM: 4 GB, HDD: 500 GB SATA3, Hỗ trợ khe cắm SSD M.2 SATA3",Đồ họa: Intel® HD Graphics 620,HĐH: Windows 10 Home SL,"Nặng: 1.77 kg, Pin: 3 cell",https://www.thegioididong.com/laptop/hp-15-da0054tu-4me68pa
HP 15 da0443TX i3 7020U (5SL06PA),11.990.000₫,https://cdn.tgdd.vn/Products/Images/44/195381/hp-15-da0443tx-i3-7020u-4gb-1tb-mx110-win10-5sl06-33397-thumb-600x600.jpg,"Màn hình: 15.6 inch, Full HD","CPU: Core i3 Kabylake, 2.30 GHz","RAM: 4 GB, HDD: 1 TB, Hỗ trợ khe cắm SSD M.2 SATA3","Đồ họa: NVIDIA GeForce MX110, 2GB",HĐH: Windows 10 Home SL,"Nặng: 2.0 kg, Pin: 40mAh)",https://www.thegioididong.com/laptop/hp-15-da0443tx-i3-7020u-4gb-1tb-mx110-win10-5sl06
HP Pavilion 14 ce1011TU i3 8145U (5JN17PA),13.290.000₫,https://cdn.tgdd.vn/Products/Images/44/197626/hp-pavilion-14-ce1011tu-i3-8145u-4gb-1tb-win10-5j-600x600.jpg,"Màn hình: 14 inch, Full HD","CPU: Core i3 Coffee Lake, 2.10 GHz","RAM: 4 GB, HDD: 1 TB SATA3",Đồ họa: Intel® UHD Graphics 620,HĐH: Windows 10 Home SL,"Nặng: 1.53 kg, Pin: 3 cell",https://www.thegioididong.com/laptop/hp-pavilion-14-ce1011tu-i3-8145u-4gb-1tb-win10-5j
HP Pavilion x360 cd1018TU i3 8145U (5HV88PA),13.490.000₫,https://cdn.tgdd.vn/Products/Images/44/200322/hp-pavilion-x360-cd1018tu-i3-8145u-4gb-1tb-14-touc-600x600.jpg,"Màn hình: 14 inch, HD","CPU: Core i3 Coffee Lake, 2.10 GHz","RAM: 4 GB, HDD: 1 TB SATA3, Hỗ trợ khe cắm SSD M.2 SATA3",Đồ họa: Intel® UHD Graphics 620,HĐH: Windows 10 Home SL,"Nặng: 1.66 kg, Pin: 3 cell",https://www.thegioididong.com/laptop/hp-pavilion-x360-cd1018tu-i3-8145u-4gb-1tb-14-touc
HP Pavilion X360 ad104TU i3 8130U (4MF13PA),13.490.000₫,https://cdn.tgdd.vn/Products/Images/44/177640/hp-pavilion-x360-ad104tu-4mf13pa-450-600x600.jpg,"Màn hình: 11.6 inch, HD","CPU: Core i3 Kabylake Refresh, 2.20 GHz","RAM: 4 GB, HDD: 500 GB SATA3",Đồ họa: Intel® UHD Graphics 620,HĐH: Windows 10 Home SL,"Nặng: 1.39 kg, Pin: 2 cell",https://www.thegioididong.com/laptop/hp-pavilion-x360-ad104tu-4mf13pa
